Molecule_ChEMBL_ID,Smiles,Standard_Value,Unit
CHEMBL2051983,CO[C@H]1O[C@H](C)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,4.9,nM
CHEMBL2374254,OC[C@@]1(O)C[C@H](NC[C@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,5.8,nM
CHEMBL3349432,OC[C@@]1(O)C[C@H](N[C@@H]2CCCC[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,6.1,nM
CHEMBL2374253,OC[C@H](N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,13,nM
CHEMBL3349431,OCN(CO)[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,15,nM
CHEMBL2051761,C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,28,nM
CHEMBL501355,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,40,nM
CHEMBL3349442,CC(C)(C)c1cc(CN[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)cc(C(C)(C)C)c1O,43,nM
CHEMBL2442258,CN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,60,nM
CHEMBL2051762,C[C@H]1C[C@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,68,nM
CHEMBL4549180,CN(C)c1ccc(C(Nc2ccc(Oc3ccc(NC(c4ccc(N(C)C)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70,nM
CHEMBL4448264,O=c1oc2ccccc2cc1-c1nn(C(Nc2ccc(Oc3ccc(NC(c4cccc(Br)c4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)c2cccc(Br)c2)c(=S)o1,70,nM
CHEMBL4461882,COc1cccc(C(Nc2ccc(-c3ccc(NC(c4cccc(OC)c4)n4nc(-c5cc(=O)oc6ccccc56)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)c1,70,nM
CHEMBL4468520,O=c1oc2ccccc2cc1-c1nn(C(Nc2ccc(Oc3ccc(NC(c4ccc([N+](=O)[O-])cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)c2ccc([N+](=O)[O-])cc2)c(=S)o1,70,nM
