Molecule_ChEMBL_ID,Smiles,Standard_Value,Unit,Standardized_SMILES
CHEMBL2051983,CO[C@H]1O[C@H](C)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,4.9,nM,COC1OC(C)C(NC2CC(O)(CO)C(O)C(O)C2O)C(O)C1O
CHEMBL2374254,OC[C@@]1(O)C[C@H](NC[C@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,5.8,nM,OCC1(O)CC(NCC(O)c2ccccc2)C(O)C(O)C1O
CHEMBL3349432,OC[C@@]1(O)C[C@H](N[C@@H]2CCCC[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,6.1,nM,OCC1(O)CC(NC2CCCCC2O)C(O)C(O)C1O
CHEMBL2374253,OC[C@H](N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,13.0,nM,OCC(NC1CC(O)(CO)C(O)C(O)C1O)c1ccccc1
CHEMBL3349431,OCN(CO)[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,15.0,nM,OCN(CO)C1CC(O)(CO)C(O)C(O)C1O
CHEMBL2051761,C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,28.0,nM,CC1CC(N)C(O)C(O)C1NC1CC(O)(CO)C(O)C(O)C1O
CHEMBL501355,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,40.0,nM,OCC1NC(CO)C(O)C(O)C1O
CHEMBL3349442,CC(C)(C)c1cc(CN[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)cc(C(C)(C)C)c1O,43.0,nM,CC(C)(C)c1cc(CNC2CC(O)(CO)C(O)C(O)C2O)cc(C(C)(C)C)c1O
CHEMBL2442258,CN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,60.0,nM,CN1C(CO)C(O)C(O)C(O)C1CO
CHEMBL2051762,C[C@H]1C[C@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,68.0,nM,CC1CC(O)C(O)C(O)C1NC1CC(O)(CO)C(O)C(O)C1O
